corpus,project,symbol,kind,predicted_color,predicted_reason,actual_status,root_blocker
endtoend,multi-tu-gate-g8-ptr-global-external.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g8-ptr-global-external.c,g,global,green,admissible,ported,
endtoend,multi-tu-gate-g8-ptr-global-external.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g8-ptr-global-external.c,read_g,function,green,admissible,ported,
endtoend,multi-tu-gate-g8-ptr-global-external.c,unrelated_g8,function,green,admissible,ported,
endtoend,multi-tu-gate-g8-shared-header.c,arr,global,green,admissible,ported,
endtoend,multi-tu-gate-g8-shared-header.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g8-shared-header.c,g,global,green,admissible,ported,
endtoend,multi-tu-gate-g8-shared-header.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g8-shared-header.c,read_g,function,green,admissible,ported,
endtoend,multi-tu.c,add,function,green,admissible,ported,
endtoend,multi-tu.c,c_main,function,green,admissible,ported,
endtoend,multi-tu.c,lib_transform,function,green,admissible,ported,
endtoend,multi-tu.c,printf,function,green,admissible,declared,
endtoend,multi-tu.c,shared_counter,global,green,admissible,ported,
endtoend,multi-tu.c,tu0_scale,function,green,admissible,ported,
endtoend,multi-tu.c,tu1_scale,function,green,admissible,ported,
endtoend,nonfinite.c,c_main,function,green,admissible,ported,
endtoend,nonfinite.c,printf,function,green,admissible,declared,
endtoend,nonfinite.c,show,function,green,admissible,ported,
endtoend,owner-index-return.c,bigger,function,green,admissible,missing,
endtoend,owner-index-return.c,c_main,function,green,admissible,ported,
endtoend,owner-index-return.c,printf,function,green,admissible,declared,
endtoend,owners.c,c_main,function,green,admissible,ported,
endtoend,owners.c,fill,function,green,admissible,missing,
