corpus,project,items,green,yellow,red,ported,stubbed,dropped,missing,declared,false_green,false_red
cpp-realworld,extern-plugin,10,10,0,0,7,0,0,0,3,0,0
cpp-realworld,fixed-stats,11,11,0,0,11,0,0,0,0,0,0
cpp-realworld,polygon,8,8,0,0,4,4,0,0,0,0,0
cpp-realworld,ringbuf-lib,12,12,0,0,12,0,0,0,0,0,0
cpp-realworld,shapes,7,1,0,6,1,1,5,0,0,0,0
cpp-realworld,tokenizer,5,5,0,0,5,0,0,0,0,0,0
c-realworld,argv-echo,1,1,0,0,0,0,1,0,0,1,0
c-realworld,base64,1,1,0,0,1,0,0,0,0,0,0
c-realworld,binary-tree,4,4,0,0,1,2,0,1,0,0,0
c-realworld,calc,4,4,0,0,4,0,0,0,0,0,0
c-realworld,crc32,2,2,0,0,2,0,0,0,0,0,0
c-realworld,expr-eval,6,6,0,0,0,5,0,1,0,0,0
c-realworld,grep-lite,1,1,0,0,0,1,0,0,0,0,0
c-realworld,linked-list,2,2,0,0,2,0,0,0,0,0,0
c-realworld,logger,3,3,0,0,3,0,0,0,0,0,0
c-realworld,malloc-stack,1,1,0,0,1,0,0,0,0,0,0
c-realworld,sieve,1,1,0,0,1,0,0,0,0,0,0
c-realworld,union-find,6,6,0,0,2,0,0,4,0,0,0
c-realworld,word-count,1,1,0,0,1,0,0,0,0,0,0
endtoend,aggregate-init.c,15,15,0,0,14,0,0,0,1,0,0
endtoend,array-params.c,9,9,0,0,8,0,0,0,1,0,0
endtoend,array-self-ref-member-chain.c,6,6,0,0,2,0,0,3,1,0,0
endtoend,array-self-ref-member-cross-param.c,7,7,0,0,2,0,0,4,1,0,0
endtoend,array-self-ref-member.c,5,5,0,0,2,0,0,2,1,0,0
endtoend,arrays-multidim.c,3,3,0,0,2,0,0,0,1,0,0
endtoend,bitfields-flags.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,bitfields-zeroextend.c,9,9,0,0,8,0,0,0,1,0,0
endtoend,bitwise.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,byte-region-walk.c,11,11,0,0,6,0,0,5,0,0,0
endtoend,char-constants.c,5,5,0,0,2,0,0,0,3,0,0
endtoend,compound-literals.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,compound-promote.c,9,9,0,0,8,0,0,0,1,0,0
endtoend,cpp-basics.cpp,9,9,0,0,8,0,0,0,1,0,0
endtoend,cpp-method-chain.cpp,4,4,0,0,3,0,0,0,1,0,0
endtoend,cpp-method-chains.cpp,3,3,0,0,2,0,0,0,1,0,0
endtoend,cpp-methods-overload.cpp,3,3,0,0,2,0,0,0,1,0,0
endtoend,cpp-methods.cpp,4,4,0,0,3,0,0,0,1,0,0
endtoend,cpp-references.cpp,12,12,0,0,11,0,0,0,1,0,0
endtoend,cpp-stl-combined.cpp,3,3,0,0,2,0,0,0,1,0,0
endtoend,cpp-this-fields.cpp,3,3,0,0,2,0,0,0,1,0,0
endtoend,enum-from-int.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,enum-int.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,float-literals.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,float-negation.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,float.c,3,3,0,0,2,0,0,0,1,0,0
endtoend,fn-pointers.c,12,12,0,0,11,0,0,0,1,0,0
endtoend,fnptr-devirt.c,4,4,0,0,2,0,0,2,0,0,0
endtoend,fnptr-noproto-infer.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,fnptr-void-local.c,3,3,0,0,3,0,0,0,0,0,0
endtoend,func-name.c,7,7,0,0,4,0,0,0,3,0,0
endtoend,globals-string.c,8,8,0,0,7,0,0,0,1,0,0
endtoend,globals-writeback-order.c,16,16,0,0,15,0,0,0,1,0,0
endtoend,globals.c,12,12,0,0,11,0,0,0,1,0,0
endtoend,goto.c,8,8,0,0,7,0,0,0,1,0,0
endtoend,incremental-builds.cpp,7,4,0,3,3,0,3,0,1,0,0
endtoend,inline.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,lib-crate-external-caller.c,8,8,0,0,8,0,0,0,0,0,0
endtoend,lib-crate-externals-trait.c,5,5,0,0,3,0,0,0,2,0,0
endtoend,libc-subset.c,2,2,0,0,2,0,0,0,0,0,0
endtoend,linked-list.c,2,2,0,0,2,0,0,0,0,0,0
endtoend,loops.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,lostcopy-min.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,lostcopy-nested-branch.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,lostcopy-rotations.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,malloc-stack.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,math-sin.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,missing-return-expect-carrier.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,8,8,0,0,7,0,0,0,1,0,0
endtoend,multi-tu-gate-g3-owner-fallback.c,6,6,0,0,2,0,0,3,1,0,0
endtoend,multi-tu-gate-g5-region-api.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,multi-tu-gate-g8-ptr-global-external.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,multi-tu-gate-g8-shared-header.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,multi-tu.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,nonfinite.c,3,3,0,0,2,0,0,0,1,0,0
endtoend,owner-index-return.c,3,3,0,0,1,0,0,1,1,0,0
endtoend,owners.c,5,5,0,0,1,0,0,3,1,0,0
endtoend,percent-s-param.c,5,5,0,0,3,0,0,0,2,0,0
endtoend,pointer-params.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,pointers-global-args.c,8,8,0,0,7,0,0,0,1,0,0
endtoend,pointers-global.c,16,16,0,0,13,0,0,2,1,0,0
endtoend,pointers-into-global.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,pointers-local.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,pointers-member-base.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,pointers-member.c,12,12,0,0,10,0,0,1,1,0,0
endtoend,pointers-multi-base.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,pointers-null-ternary.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,pointers-null.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,pointers-ptr-to-ptr.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,pointers-reinterpret.c,3,3,0,0,2,0,0,0,1,0,0
endtoend,pointers-return-global.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,pointers-void.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,printf-formats.c,2,2,0,0,1,0,0,0,1,0,0
endtoend,printf-user-defined-nonvariadic.c,4,4,0,0,2,0,0,0,2,0,0
endtoend,printf-user-defined.c,5,5,0,0,3,0,0,0,2,0,0
endtoend,qualifiers.c,10,10,0,0,8,0,0,1,1,0,0
endtoend,recover-partial.cpp,7,7,0,0,3,2,1,0,1,1,0
endtoend,recursion.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,sprintf.c,1,1,0,0,1,0,0,0,0,0,0
endtoend,stdio-file-roundtrip.c,1,1,0,0,1,0,0,0,0,0,0
endtoend,stdio-include.c,2,2,0,0,2,0,0,0,0,0,0
endtoend,stl-string.cpp,4,4,0,0,3,0,0,0,1,0,0
endtoend,stl-vector.cpp,3,3,0,0,2,0,0,0,1,0,0
endtoend,stmt-expr.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,string-cursor.c,3,3,0,0,1,0,0,0,2,0,0
endtoend,strings-exprs.c,4,4,0,0,3,0,0,0,1,0,0
endtoend,strings-hosted.c,1,1,0,0,1,0,0,0,0,0,0
endtoend,strings.c,6,6,0,0,3,0,0,0,3,0,0
endtoend,struct-tag-namespace.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,structs-anon-member.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,structs-anon.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,structs-nested.c,6,6,0,0,5,0,0,0,1,0,0
endtoend,structs-shadow.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,structs.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,switch-dispatch.c,7,7,0,0,6,0,0,0,1,0,0
endtoend,switch-enum.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,switch-general.c,8,8,0,0,7,0,0,0,1,0,0
endtoend,union-find.c,7,7,0,0,2,0,0,4,1,0,0
endtoend,unions.c,9,9,0,0,8,0,0,0,1,0,0
endtoend,unsigned.c,18,18,0,0,17,0,0,0,1,0,0
endtoend,value-exprs.c,9,9,0,0,8,0,0,0,1,0,0
endtoend,varargs-def.c,5,5,0,0,4,0,0,0,1,0,0
endtoend,varargs-monomorph.c,6,6,0,0,5,0,0,1,0,0,0
endtoend,void-cast.c,4,4,0,0,3,0,0,0,1,0,0
c-testsuite,00001.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00002.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00003.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00004.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00005.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00006.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00007.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00008.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00009.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00010.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00011.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00012.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00013.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00014.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00015.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00016.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00017.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00018.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00019.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00020.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00021.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00022.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00023.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00024.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00025.c,2,2,0,0,1,0,0,0,1,0,0
c-testsuite,00026.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00027.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00028.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00029.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00030.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00031.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00032.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00033.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00034.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00035.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00036.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00037.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00038.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00039.c,1,1,0,0,1,0,0,0,0,0,0
