corpus,project,mode,probes,wall_ms,graph_items,ported,builds
c-testsuite,00132.c,off,0,44.4,1,1,1
c-testsuite,00132.c,on,1,58.4,1,1,1
c-testsuite,00133.c,off,0,36.9,1,1,1
c-testsuite,00133.c,on,1,37.9,1,1,1
c-testsuite,00134.c,off,0,31.5,1,1,1
c-testsuite,00134.c,on,1,38.5,1,1,1
c-testsuite,00135.c,off,0,34.0,1,1,1
c-testsuite,00135.c,on,1,41.3,1,1,1
c-testsuite,00136.c,off,0,34.5,9,9,1
c-testsuite,00136.c,on,1,35.3,9,9,1
c-testsuite,00137.c,off,0,29.1,1,1,1
c-testsuite,00137.c,on,1,39.3,1,1,1
c-testsuite,00138.c,off,0,35.4,1,1,1
c-testsuite,00138.c,on,1,40.1,1,1,1
c-testsuite,00139.c,off,0,36.8,1,1,1
c-testsuite,00139.c,on,1,31.1,1,1,1
c-testsuite,00140.c,off,0,33.2,3,3,1
c-testsuite,00140.c,on,1,48.4,3,3,1
c-testsuite,00141.c,off,0,34.4,1,1,1
c-testsuite,00141.c,on,1,38.1,1,1,1
c-testsuite,00142.c,off,0,33.6,2,2,1
c-testsuite,00142.c,on,1,35.4,2,2,1
c-testsuite,00143.c,off,0,37.9,1,1,1
c-testsuite,00143.c,on,1,45.9,1,1,1
c-testsuite,00144.c,off,0,35.0,1,1,1
c-testsuite,00144.c,on,1,37.9,1,1,1
c-testsuite,00145.c,off,0,32.3,1,1,1
c-testsuite,00145.c,on,1,37.7,1,1,1
c-testsuite,00146.c,off,0,29.2,3,3,1
c-testsuite,00146.c,on,1,33.4,3,3,1
c-testsuite,00147.c,off,0,33.7,2,2,1
c-testsuite,00147.c,on,1,39.1,2,2,1
c-testsuite,00148.c,off,0,35.0,3,3,1
c-testsuite,00148.c,on,1,38.3,3,3,1
c-testsuite,00149.c,off,0,34.1,3,2,1
c-testsuite,00149.c,on,1,37.0,3,2,1
c-testsuite,00150.c,off,0,36.8,5,4,1
c-testsuite,00150.c,on,1,41.0,5,4,1
c-testsuite,00151.c,off,0,33.7,2,2,1
c-testsuite,00151.c,on,1,35.4,2,2,1
c-testsuite,00152.c,off,0,31.7,1,1,1
c-testsuite,00152.c,on,1,36.7,1,1,1
c-testsuite,00153.c,off,0,31.7,2,2,1
c-testsuite,00153.c,on,1,36.8,2,2,1
c-testsuite,00154.c,off,0,43.7,2,2,1
c-testsuite,00154.c,on,1,49.1,2,2,1
c-testsuite,00155.c,off,0,32.9,1,1,1
c-testsuite,00155.c,on,1,36.0,1,1,1
c-testsuite,00156.c,off,0,43.2,1,1,1
c-testsuite,00156.c,on,1,52.9,1,1,1
c-testsuite,00157.c,off,0,44.8,1,1,1
c-testsuite,00157.c,on,1,50.7,1,1,1
c-testsuite,00158.c,off,0,50.0,1,1,1
c-testsuite,00158.c,on,1,62.4,1,1,1
c-testsuite,00159.c,off,0,46.5,5,5,1
c-testsuite,00159.c,on,1,51.7,5,5,1
c-testsuite,00160.c,off,0,43.5,1,1,1
c-testsuite,00160.c,on,1,51.4,1,1,1
c-testsuite,00161.c,off,0,44.1,1,1,1
c-testsuite,00161.c,on,1,51.0,1,1,1
c-testsuite,00162.c,off,0,32.3,2,2,1
c-testsuite,00162.c,on,1,42.4,2,2,1
c-testsuite,00163.c,off,0,47.8,3,3,1
c-testsuite,00163.c,on,1,47.2,3,3,1
c-testsuite,00164.c,off,0,47.6,1,1,1
c-testsuite,00164.c,on,1,53.8,1,1,1
c-testsuite,00165.c,off,0,43.5,1,1,1
c-testsuite,00165.c,on,1,45.5,1,1,1
c-testsuite,00166.c,off,0,46.1,1,1,1
c-testsuite,00166.c,on,1,51.7,1,1,1
c-testsuite,00167.c,off,0,46.6,1,1,1
c-testsuite,00167.c,on,1,50.0,1,1,1
c-testsuite,00168.c,off,0,40.4,2,2,1
c-testsuite,00168.c,on,1,57.8,2,2,1
c-testsuite,00169.c,off,0,49.5,1,1,1
c-testsuite,00169.c,on,1,52.5,1,1,1
c-testsuite,00170.c,off,0,31.1,9,9,1
c-testsuite,00170.c,on,1,51.2,9,9,1
c-testsuite,00171.c,off,0,43.7,1,1,1
c-testsuite,00171.c,on,1,54.8,1,1,1
c-testsuite,00172.c,off,0,44.6,1,1,1
c-testsuite,00172.c,on,1,50.7,1,1,1
c-testsuite,00173.c,off,0,47.0,1,1,1
c-testsuite,00173.c,on,1,55.1,1,1,1
c-testsuite,00174.c,off,0,63.9,1,1,1
c-testsuite,00174.c,on,1,90.2,1,1,1
c-testsuite,00175.c,off,0,44.4,4,4,1
c-testsuite,00175.c,on,1,65.9,4,4,1
c-testsuite,00176.c,off,0,51.7,5,5,1
c-testsuite,00176.c,on,1,60.8,5,5,1
c-testsuite,00177.c,off,0,32.8,1,1,1
c-testsuite,00177.c,on,1,49.6,1,1,1
c-testsuite,00178.c,off,0,43.6,1,1,1
c-testsuite,00178.c,on,1,51.1,1,1,1
c-testsuite,00179.c,off,0,48.3,1,1,1
c-testsuite,00179.c,on,1,56.6,1,1,1
c-testsuite,00180.c,off,0,49.1,1,1,1
c-testsuite,00180.c,on,1,52.7,1,1,1
c-testsuite,00181.c,off,0,49.7,7,7,1
c-testsuite,00181.c,on,1,73.3,7,7,1
c-testsuite,00182.c,off,0,59.4,5,5,1
c-testsuite,00182.c,on,1,75.9,5,5,1
c-testsuite,00183.c,off,0,49.0,1,1,1
c-testsuite,00183.c,on,1,47.3,1,1,1
c-testsuite,00184.c,off,0,43.2,1,1,1
c-testsuite,00184.c,on,1,56.6,1,1,1
c-testsuite,00185.c,off,0,47.9,1,1,1
c-testsuite,00185.c,on,1,54.7,1,1,1
c-testsuite,00186.c,off,0,46.3,1,1,1
c-testsuite,00186.c,on,1,55.4,1,1,1
c-testsuite,00187.c,off,0,48.5,1,1,1
c-testsuite,00187.c,on,1,59.5,1,1,1
c-testsuite,00188.c,off,0,32.7,1,1,1
c-testsuite,00188.c,on,1,54.3,1,1,1
c-testsuite,00189.c,off,0,48.2,4,2,1
c-testsuite,00189.c,on,1,48.5,4,2,1
c-testsuite,00190.c,off,0,45.1,2,2,1
c-testsuite,00190.c,on,1,57.6,2,2,1
c-testsuite,00191.c,off,0,46.3,1,1,1
c-testsuite,00191.c,on,1,55.2,1,1,1
c-testsuite,00192.c,off,0,47.2,1,1,1
c-testsuite,00192.c,on,1,52.1,1,1,1
c-testsuite,00193.c,off,0,45.3,2,2,1
c-testsuite,00193.c,on,1,56.1,2,2,1
c-testsuite,00194.c,off,0,41.9,1,1,1
c-testsuite,00194.c,on,1,53.1,1,1,1
c-testsuite,00195.c,off,0,48.1,3,3,1
c-testsuite,00195.c,on,1,51.1,3,3,1
c-testsuite,00196.c,off,0,56.7,3,3,1
c-testsuite,00196.c,on,1,50.9,3,3,1
c-testsuite,00197.c,off,0,43.8,4,4,1
c-testsuite,00197.c,on,1,57.1,4,4,1
c-testsuite,00198.c,off,0,37.8,2,2,1
c-testsuite,00198.c,on,1,49.5,2,2,1
c-testsuite,00199.c,off,0,40.8,4,4,1
c-testsuite,00199.c,on,1,53.8,4,4,1
c-testsuite,00200.c,off,0,133.5,4,4,1
c-testsuite,00200.c,on,1,174.1,4,4,1
c-testsuite,00201.c,off,0,40.7,1,1,1
c-testsuite,00201.c,on,1,48.7,1,1,1
c-testsuite,00202.c,off,0,43.6,1,1,1
c-testsuite,00202.c,on,1,50.5,1,1,1
c-testsuite,00203.c,off,0,38.0,1,1,1
c-testsuite,00203.c,on,1,51.8,1,1,1
c-testsuite,00204.c,off,0,183.3,137,136,1
c-testsuite,00204.c,on,1,286.3,137,136,1
c-testsuite,00205.c,off,0,54.3,3,3,1
c-testsuite,00205.c,on,1,55.3,3,3,1
c-testsuite,00206.c,off,0,44.7,1,1,1
c-testsuite,00206.c,on,1,53.5,1,1,1
c-testsuite,00207.c,off,0,50.7,4,4,1
c-testsuite,00207.c,on,1,55.0,4,4,1
c-testsuite,00208.c,off,0,47.6,5,5,1
c-testsuite,00208.c,on,1,55.4,5,5,1
c-testsuite,00209.c,off,0,35.4,12,6,1
c-testsuite,00209.c,on,1,39.6,12,6,1
c-testsuite,00210.c,off,0,37.7,5,5,1
c-testsuite,00210.c,on,1,37.6,5,5,1
c-testsuite,00211.c,off,0,29.5,2,2,1
c-testsuite,00211.c,on,1,40.0,2,2,1
c-testsuite,00212.c,off,0,40.4,1,1,1
c-testsuite,00212.c,on,1,50.7,1,1,1
c-testsuite,00213.c,off,0,37.3,6,6,1
c-testsuite,00213.c,on,1,54.3,6,6,1
c-testsuite,00214.c,off,0,35.7,7,7,1
c-testsuite,00214.c,on,1,45.5,7,7,1
c-testsuite,00215.c,off,0,35.8,7,7,1
c-testsuite,00215.c,on,1,46.3,7,7,1
c-testsuite,00216.c,off,0,69.2,53,39,1
c-testsuite,00216.c,on,1,90.6,53,39,1
c-testsuite,00217.c,off,0,35.8,2,2,1
c-testsuite,00217.c,on,1,38.2,2,2,1
c-testsuite,00218.c,off,0,39.7,8,8,1
c-testsuite,00218.c,on,1,40.1,8,8,1
c-testsuite,00219.c,off,0,50.3,6,6,1
c-testsuite,00219.c,on,1,53.1,6,6,1
c-testsuite,00220.c,off,0,46.0,1,1,1
c-testsuite,00220.c,on,1,56.0,1,1,1
synthetic,search-backtrack.cpp,off,0,32.7,,,0
synthetic,search-backtrack.cpp,on,3,64.3,5,4,1
synthetic,search-bound.c,off,0,30.1,,,0
synthetic,search-bound.c,on,3,45.9,3,2,1
synthetic,search-cli.c,off,0,36.7,3,3,1
synthetic,search-cli.c,on,1,49.8,3,3,1
synthetic,search-determinism.c,off,0,34.0,,,0
synthetic,search-determinism.c,on,7,89.2,6,4,1
synthetic,search-false-green.c,off,0,35.1,3,1,1
synthetic,search-false-green.c,on,4,46.8,3,1,1
synthetic,search-false-red.cpp,off,0,38.6,6,4,1
synthetic,search-false-red.cpp,on,2,40.7,6,4,1
synthetic,search-green.c,off,0,37.6,3,3,1
synthetic,search-green.c,on,1,26.3,3,3,1
synthetic,search-red.c,off,0,34.0,5,2,1
synthetic,search-red.c,on,2,45.7,5,2,1
