corpus,project,tus,strict_ok,strict_builds,incr_emitted,incr_builds,graph_items,ported,stubbed,dropped,missing,declared,ported_permille
endtoend,pointers-global-args.c,1,1,1,1,1,7,7,0,0,0,1,1000
endtoend,pointers-global.c,1,1,1,1,1,15,13,0,0,2,1,866
endtoend,pointers-into-global.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,pointers-local.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,pointers-member-base.c,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,pointers-member.c,1,1,1,1,1,11,10,0,0,1,1,909
endtoend,pointers-multi-base.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,pointers-null-ternary.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,pointers-null.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,pointers-ptr-to-ptr.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,pointers-reinterpret.c,1,1,1,1,1,2,2,0,0,0,1,1000
endtoend,pointers-return-global.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,pointers-void.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,printf-formats.c,1,1,1,1,1,1,1,0,0,0,1,1000
endtoend,printf-user-defined-nonvariadic.c,1,1,1,1,1,2,2,0,0,0,2,1000
endtoend,printf-user-defined.c,1,1,1,1,1,3,3,0,0,0,2,1000
endtoend,qualifiers.c,1,1,1,1,1,9,8,0,0,1,1,888
endtoend,recover-partial.cpp,1,0,0,1,1,6,3,2,1,0,1,500
endtoend,recursion.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,sprintf.c,1,1,1,1,1,1,1,0,0,0,0,1000
endtoend,stdio-file-roundtrip.c,1,1,1,1,1,1,1,0,0,0,0,1000
endtoend,stdio-include.c,1,1,1,1,1,2,2,0,0,0,0,1000
endtoend,stl-string.cpp,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,stl-vector.cpp,1,1,1,1,1,2,2,0,0,0,1,1000
endtoend,stmt-expr.c,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,string-cursor.c,1,1,1,1,1,1,1,0,0,0,2,1000
endtoend,strings-exprs.c,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,strings-hosted.c,1,1,1,1,1,1,1,0,0,0,0,1000
endtoend,strings.c,1,1,1,1,1,3,3,0,0,0,3,1000
endtoend,struct-tag-namespace.c,1,1,1,1,1,5,5,0,0,0,1,1000
endtoend,structs-anon-member.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,structs-anon.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,structs-nested.c,1,1,1,1,1,5,5,0,0,0,1,1000
endtoend,structs-shadow.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,structs.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,switch-dispatch.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,switch-enum.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,switch-general.c,1,1,1,1,1,7,7,0,0,0,1,1000
endtoend,union-find.c,1,1,1,1,1,6,2,0,0,4,1,333
endtoend,unions.c,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,unsigned.c,1,1,1,1,1,17,17,0,0,0,1,1000
endtoend,value-exprs.c,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,varargs-def.c,1,1,1,1,1,4,4,0,0,0,1,1000
endtoend,varargs-monomorph.c,1,1,1,1,1,6,5,0,0,1,0,833
endtoend,void-cast.c,1,1,1,1,1,3,3,0,0,0,1,1000
c-testsuite,00001.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00002.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00003.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00004.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00005.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00006.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00007.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00008.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00009.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00010.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00011.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00012.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00013.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00014.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00015.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00016.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00017.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00018.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00019.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00020.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00021.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00022.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00023.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00024.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00025.c,1,1,1,1,1,1,1,0,0,0,1,1000
c-testsuite,00026.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00027.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00028.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00029.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00030.c,1,1,1,1,1,2,2,0,0,0,0,1000
